st_name,st_distance,st_right_ascension,st_declination,st_spectral_type,st_solar_radii,st_mass,st_luminosity,st_effective_temp,pl_discovery_method,pl_orbital_period,pl_orbital_sm_axis,pl_orbital_eccentricity,pl_orbital_inclination,pl_jupiter_mass,pl_earth_mass,pl_earth_mass_sini,pl_jupiter_radii,pl_earth_radii,pl_density,pl_equilibrium_temp
Kepler-1612,837,291.250279,45.655075,,0.94,0.96,,5643,Transit,3.91795101,,,,,,,0.092,1.03,,
Kepler-1613,855,289.875041,43.420963,,1.12,1.08,,6005,Transit,1.5184299,,,,,,,0.186,2.08,,
Kepler-1614,982,284.871334,49.775913,,0.76,0.79,,5121,Transit,3.9466141,,,,,,,0.133,1.49,,
Kepler-1615,940,286.359226,42.227478,,1.05,1.04,,5865,Transit,47.3126192,,,,,,,0.184,2.06,,
Kepler-1616,862,286.543637,45.304874,,1.34,1.21,,6266,Transit,6.76284377,,,,,,,0.091,1.02,,
Kepler-1617,813,287.937219,46.418491,,1.22,1.15,,6167,Transit,27.4785572,,,,,,,0.107,1.2,,
Kepler-1618,1238,295.175391,45.930908,,1.65,1.41,,6620,Transit,6.10826019,,,,,,,0.112,1.26,,
Kepler-1619,520,285.703472,44.422001,,1,1,,5852,Transit,23.6225913,,,,,,,0.068,0.76,,
Kepler-162,,297.27891,43.724018,,0.96,,,5816,Transit,6.919798,0.069,,,,,,0.112,1.26,,
Kepler-162,,297.27891,43.724018,,0.96,,,5816,Transit,19.446355,0.137,,,,,,0.27,3.03,,
Kepler-1620,773,297.270876,46.928417,,1.23,1.15,,6157,Transit,101.951829,,,,,,,0.144,1.61,,
Kepler-1621,1461,297.588518,43.841221,,1.24,1.15,,6158,Transit,92.263714,,,,,,,0.193,2.16,,
Kepler-1622,927,297.32891,47.815472,,1.5,1.31,,6436,Transit,10.8118737,,,,,,,0.131,1.47,,
Kepler-1623,986,294.082695,39.556103,,1,1,,5772,Transit,4.36128348,,,,,,,0.117,1.31,,
Kepler-1624,199,292.57986,37.376411,,0.47,0.5,,3636,Transit,3.29030452,,,,,,,0.509,5.7,,
Kepler-1625,1213,295.429347,39.886547,,0.94,0.96,,5677,Transit,287.378949,,,,,,,0.541,6.06,,
Kepler-1626,1718,296.500445,40.72123,,1.85,1.51,,6826,Transit,4.13962966,,,,,,,0.18,2.02,,
Kepler-1627,311,284.056684,41.576733,,0.84,0.87,,5445,Transit,7.20283653,,,,,,,0.329,3.69,,
Kepler-1628,352,281.6337,43.411579,,0.52,0.55,,3724,Transit,76.378033,,,,,,,0.574,6.43,,
Kepler-1629,390,280.206621,43.774297,,1.01,1.01,,5776,Transit,3.87595807,,,,,,,0.069,0.77,,
Kepler-163,,295.002819,46.987328,,0.92,0.96,,5776,Transit,7.810937,0.078,,,,,,0.094,1.05,,
Kepler-163,,295.002819,46.987328,,0.92,0.96,,5776,Transit,21.347262,0.152,,,,,,0.202,2.26,,
Kepler-1630,278,297.508294,43.710953,,0.63,0.66,,4736,Transit,509.997402,,,,,,,0.195,2.19,,
Kepler-1631,1190,294.63257,43.807671,,0.95,0.97,,5679,Transit,4.09513932,,,,,,,0.12,1.35,,
Kepler-1632,584,294.494859,43.91362,,1.19,1.12,,6137,Transit,448.303558,,,,,,,0.22,2.47,,
Kepler-1633,811,288.515202,44.923225,,1.32,1.2,,6256,Transit,186.404271,,,,,,,0.141,1.58,,
Kepler-1634,654,294.043409,45.139786,,0.89,0.92,,5474,Transit,374.876239,,,,,,,0.285,3.19,,
Kepler-1635,1084,285.348993,45.556183,,0.85,0.89,,5347,Transit,469.63111,,,,,,,0.325,3.64,,
Kepler-1636,1567,294.057625,46.441031,,1.02,1.01,,5797,Transit,425.47785,,,,,,,0.288,3.23,,
Kepler-1637,506,282.236848,48.154297,,1.02,1.02,,5789,Transit,6.10960324,,,,,,,0.079,0.89,,
Kepler-1638,879,295.482407,48.524445,,0.95,0.97,,5710,Transit,259.33683,,,,,,,0.167,1.87,,
Kepler-1639,1168,283.068632,48.802086,,1.18,1.12,,6150,Transit,9.878482,,,,,,,0.23,2.58,,
Kepler-164,,287.780828,47.629913,,1.15,1.11,,5888,Transit,5.03503,0.058,,,,,,0.126,1.41,,
Kepler-164,,287.780828,47.629913,,1.15,1.11,,5888,Transit,10.945723,0.097,,,,,,0.244,2.73,,
Kepler-164,,287.780828,47.629913,,1.15,1.11,,5888,Transit,28.986769,0.187,,,,,,0.219,2.45,,
Kepler-1640,1379,294.55789,40.850498,,1.43,1.27,,6324,Transit,7.5844126,,,,,,,0.43,4.82,,
Kepler-1641,961,296.35944,41.574532,,1.19,1.12,,6152,Transit,19.672266,,,,,,,0.277,3.11,,
Kepler-1641,961,296.35944,41.574532,,1.19,1.12,,6152,Transit,32.657212,,,,,,,0.263,2.95,,
Kepler-1642,447,297.21216,43.643719,,0.84,0.88,,5355,Transit,12.2057513,,,,,,,0.285,3.2,,
Kepler-1642,447,297.21216,43.643719,,0.84,0.88,,5355,Transit,6.6513802,,,,,,,0.237,2.66,,
Kepler-1643,414,300.431,44.751011,,0.88,0.92,,5508,Transit,5.34264507,,,,,,,0.205,2.3,,
Kepler-1644,592,285.475055,48.034935,,0.86,0.89,,5499,Transit,21.0907758,,,,,,,0.168,1.88,,
Kepler-1645,844,297.479473,48.418571,,1.02,1.02,,5812,Transit,16.1779561,,,,,,,0.159,1.78,,
Kepler-1646,81,287.526422,42.912908,,0.26,0.24,,3299,Transit,4.48558383,,,,,,,0.11,1.23,,
Kepler-1647,,298.150086,40.656175,,1.79,1.22,,6210,Transit,1107.5923,2.7205,0.0581,90.097,1.51968,483,,1.059,11.874,,
Kepler-165,,280.691016,47.809735,,0.77,,,5211,Transit,8.180848,0.072,,,,,,0.207,2.32,,
Kepler-165,,280.691016,47.809735,,0.77,,,5211,Transit,15.31299,0.11,,,,,,0.199,2.23,,
Kepler-166,,293.160171,48.881191,,0.74,,,5413,Transit,7.650254,0.072,,,,,,0.203,2.27,,
Kepler-166,,293.160171,48.881191,,0.74,,,5413,Transit,34.260281,0.195,,,,,,0.212,2.38,,
Kepler-166,,293.160171,48.881191,,0.74,,,5413,Transit,1.55400393,,,,,,,0.154,1.73,,
Kepler-167,330,292.658441,38.345413,K4,0.73,0.77,-0.57,4890,Transit,4.3931632,0.0483,0,89.33,,,,0.144,1.615,,914
Kepler-167,330,292.658441,38.345413,K4,0.73,0.77,-0.57,4890,Transit,7.406114,0.0684,0,89.3,,,,0.138,1.548,,768
Kepler-167,330,292.658441,38.345413,K4,0.73,0.77,-0.57,4890,Transit,21.803855,0.1405,0.12,89.352,,,,0.107,1.194,,536
Kepler-167,330,292.658441,38.345413,K4,0.73,0.77,-0.57,4890,Transit,1071.23228,1.89,0.062,89.976,,,,0.906,10.15,,131
Kepler-168,,294.710165,39.825104,,1.11,,,6282,Transit,4.425391,0.056,,,,,,0.13,1.46,,
Kepler-168,,294.710165,39.825104,,1.11,,,6282,Transit,13.193242,0.116,,,,,,0.24,2.69,,
Kepler-169,,285.999891,40.919329,,0.76,0.86,,4997,Transit,3.250619,0.04,,,,,,0.101,1.13,,
Kepler-169,,285.999891,40.919329,,0.76,0.86,,4997,Transit,6.195469,0.062,,,,,,0.108,1.21,,
Kepler-169,,285.999891,40.919329,,0.76,0.86,,4997,Transit,8.348125,0.075,,,,,,0.112,1.25,,
Kepler-169,,285.999891,40.919329,,0.76,0.86,,4997,Transit,13.767102,0.105,,,,,,0.196,2.2,,
Kepler-169,,285.999891,40.919329,,0.76,0.86,,4997,Transit,87.090195,0.359,,,,,,0.23,2.58,,
Kepler-17,800,298.395274,47.815006,G2 V,1.05,1.16,,5781,Transit,1.4857108,0.02591,0.011,87.2,2.45,778.65,,1.31,14.68,1.35,1570
Kepler-170,,284.521193,41.629604,,1.03,,,5679,Transit,7.930592,0.08,,,,,,0.285,3.2,,
Kepler-170,,284.521193,41.629604,,1.03,,,5679,Transit,16.665863,0.131,,,,,,0.255,2.86,,
Kepler-171,,296.771914,41.755537,,0.84,,,5642,Transit,4.166972,0.05,,,,,,0.209,2.34,,
Kepler-171,,296.771914,41.755537,,0.84,,,5642,Transit,11.463462,0.098,,,,,,0.228,2.56,,
Kepler-171,,296.771914,41.755537,,0.84,,,5642,Transit,39.595519,0.223,,,,,,0.169,1.89,,
Kepler-172,,283.368413,41.821857,,1.08,0.86,,5526,Transit,2.940309,0.04,,,,,,0.21,2.35,,
Kepler-172,,283.368413,41.821857,,1.08,0.86,,5526,Transit,6.388996,0.068,,,,,,0.255,2.86,,
Kepler-172,,283.368413,41.821857,,1.08,0.86,,5526,Transit,14.627119,0.118,,,,,,0.201,2.25,,
Kepler-172,,283.368413,41.821857,,1.08,0.86,,5526,Transit,35.118736,0.211,,,,,,0.246,2.76,,
Kepler-173,,294.646695,41.884106,,0.95,0.78,,6031,Transit,4.263742,0.048,,,,,,0.115,1.29,,
Kepler-173,,294.646695,41.884106,,0.95,0.78,,6031,Transit,8.005777,0.074,,,,,,0.217,2.43,,
Kepler-174,,287.439194,43.832092,,0.62,,,4880,Transit,13.98179,0.1,,,,,,0.175,1.96,,
Kepler-174,,287.439194,43.832092,,0.62,,,4880,Transit,44.000529,0.214,,,,,,0.133,1.49,,
Kepler-174,,287.439194,43.832092,,0.62,,,4880,Transit,247.35373,0.677,,,,,,0.195,2.19,,
Kepler-175,,289.553283,43.876183,,1.01,1.04,,6064,Transit,11.903515,0.105,,,,,,0.228,2.56,,
Kepler-175,,289.553283,43.876183,,1.01,1.04,,6064,Transit,34.035257,0.213,,,,,,0.277,3.1,,
Kepler-176,,294.667956,43.853259,,0.89,,,5232,Transit,5.433074,0.058,,,,,,0.128,1.43,,
Kepler-176,,294.667956,43.853259,,0.89,,,5232,Transit,12.759712,0.102,,,,,,0.232,2.6,,
Kepler-176,,294.667956,43.853259,,0.89,,,5232,Transit,25.751974,0.163,,,,,,0.224,2.51,,
Kepler-176,,294.667956,43.853259,,0.89,,,5232,Transit,51.16579,,,,,,,0.129,1.45,,
Kepler-177,,286.047132,45.053207,,1.07,1.07,,5942,Transit,36.855,,,,0.006,2,,0.259,2.9,,
Kepler-177,,286.047132,45.053207,,1.07,1.07,,5942,Transit,49.412,,,,0.024,7.5,,0.633,7.1,,
Kepler-178,,287.101089,46.896477,,1.07,,,5676,Transit,9.576694,0.085,,,,,,0.259,2.9,,
Kepler-178,,287.101089,46.896477,,1.07,,,5676,Transit,20.552802,0.142,,,,,,0.257,2.88,,
Kepler-178,,287.101089,46.896477,,1.07,,,5676,Transit,96.678988,0.397,,,,,,0.352,3.95,,
Kepler-179,,298.663735,47.762043,,0.76,,,5302,Transit,2.735926,0.036,,,,,,0.146,1.64,,
Kepler-179,,298.663735,47.762043,,0.76,,,5302,Transit,6.40013,0.064,,,,,,0.178,2,,
Kepler-18,,298.079439,44.746321,,1.11,0.97,-0.031,5345,Transit,3.504725,0.0447,0,84.92,0.022,6.9,,0.178,2,4.9,
Kepler-18,,298.079439,44.746321,,1.11,0.97,-0.031,5345,Transit,7.64159,0.0752,0,87.68,0.054,17.3,,0.49,5.49,0.59,
Kepler-18,,298.079439,44.746321,,1.11,0.97,-0.031,5345,Transit,14.85888,0.1172,0,88.07,0.052,16.4,,0.623,6.98,0.27,
Kepler-180,,295.571343,49.774586,,1.06,0.84,,5731,Transit,13.817124,0.109,,,,,,0.134,1.5,,
Kepler-180,,295.571343,49.774586,,1.06,0.84,,5731,Transit,41.885775,0.229,,,,,,0.269,3.01,,
Kepler-181,,296.151402,50.095806,,0.75,,,5333,Transit,3.137873,0.04,,,,,,0.113,1.27,,
Kepler-181,,296.151402,50.095806,,0.75,,,5333,Transit,4.302149,0.049,,,,,,0.178,1.99,,
Kepler-182,,289.830114,50.586246,,1.15,1.14,,6250,Transit,9.825792,0.096,,,,,,0.23,2.58,,
Kepler-182,,289.830114,50.586246,,1.15,1.14,,6250,Transit,20.684342,0.157,,,,,,0.306,3.43,,
Kepler-183,,293.530848,39.315898,,0.96,,,5888,Transit,5.687945,0.064,,,,,,0.184,2.06,,
Kepler-183,,293.530848,39.315898,,0.96,,,5888,Transit,11.637071,0.103,,,,,,0.203,2.27,,
Kepler-184,,291.951908,43.074715,,0.87,,,5788,Transit,10.687576,0.092,,,,,,0.211,2.36,,
Kepler-184,,291.951908,43.074715,,0.87,,,5788,Transit,20.303005,0.141,,,,,,0.176,1.97,,
Kepler-184,,291.951908,43.074715,,0.87,,,5788,Transit,29.022358,0.179,,,,,,0.222,2.49,,
Kepler-185,,282.468103,43.889915,,0.81,0.79,,5208,Transit,1.6329,0.026,,,,,,0.104,1.17,,
Kepler-185,,282.468103,43.889915,,0.81,0.79,,5208,Transit,20.729042,0.139,,,,,,0.18,2.02,,
Kepler-186,172,298.652714,43.955017,M1,0.52,0.54,-1.26,3755,Transit,3.8867907,0.0343,,,,,,0.095,1.07,,
Kepler-186,172,298.652714,43.955017,M1,0.52,0.54,-1.26,3755,Transit,7.267302,0.0451,,,,,,0.112,1.25,,
Kepler-186,172,298.652714,43.955017,M1,0.52,0.54,-1.26,3755,Transit,13.342996,0.0781,,,,,,0.125,1.4,,
Kepler-186,172,298.652714,43.955017,M1,0.52,0.54,-1.26,3755,Transit,22.407704,0.11,,,,,,0.113,1.27,,
Kepler-186,172,298.652714,43.955017,M1,0.52,0.54,-1.26,3755,Transit,129.9441,0.432,0.04,89.96,,,,0.104,1.17,,
Kepler-187,,299.796456,44.089306,,1.29,0.85,,6105,Transit,4.938864,0.059,,,,,,0.126,1.41,,
Kepler-187,,299.796456,44.089306,,1.29,0.85,,6105,Transit,10.640263,0.099,,,,,,0.238,2.67,,
Kepler-188,,281.27971,44.315533,,1.14,,,6021,Transit,2.061897,0.032,,,,,,0.15,1.68,,
Kepler-188,,281.27971,44.315533,,1.14,,,6021,Transit,5.996553,0.066,,,,,,0.285,3.19,,
Kepler-189,,287.564731,44.305004,,0.75,0.79,,5235,Transit,10.399931,0.088,,,,,,0.108,1.21,,
Kepler-189,,287.564731,44.305004,,0.75,0.79,,5235,Transit,20.134866,0.137,,,,,,0.212,2.38,,
Kepler-19,2119,290.420839,37.851786,,0.85,0.94,,5541,Transit,9.2869944,,0,89.94,0.064,20.3,,0.197,2.209,10.4,
Kepler-19,2119,290.420839,37.851786,,0.85,0.94,,5541,Transit Timing Variations,160,,,,6,1906.9,,,,,
Kepler-190,,288.584039,44.733799,,0.8,0.84,,5106,Transit,2.019999,0.03,,,,,,0.139,1.56,,
Kepler-190,,288.584039,44.733799,,0.8,0.84,,5106,Transit,3.763024,0.045,,,,,,0.13,1.46,,
Kepler-191,,291.183386,45.323177,,0.79,0.85,,5282,Transit,9.939632,0.087,,,,,,0.12,1.34,,
Kepler-191,,291.183386,45.323177,,0.79,0.85,,5282,Transit,17.738506,0.128,,,,,,0.166,1.86,,
Kepler-191,,291.183386,45.323177,,0.79,0.85,,5282,Transit,5.94504102,,,,,,,0.203,2.28,,
Kepler-192,,287.917924,45.592876,,1.01,,,5479,Transit,9.926746,0.09,,,,,,0.244,2.74,,
Kepler-192,,287.917924,45.592876,,1.01,,,5479,Transit,21.2234,0.15,,,,,,0.249,2.79,,
Kepler-192,,287.917924,45.592876,,1.01,,,5479,Transit,6.47027579,,,,,,,0.091,1.02,,
Kepler-193,,296.498596,46.577244,,1.15,,,6335,Transit,11.38848,0.106,,,,,,0.213,2.39,,
Kepler-193,,296.498596,46.577244,,1.15,,,6335,Transit,50.697494,0.286,,,,,,0.245,2.75,,
Kepler-194,,291.971445,47.864174,,1.02,,,6089,Transit,2.092281,0.032,,,,,,0.135,1.51,,
Kepler-194,,291.971445,47.864174,,1.02,,,6089,Transit,17.308032,0.131,,,,,,0.231,2.59,,
Kepler-194,,291.971445,47.864174,,1.02,,,6089,Transit,52.814973,0.275,,,,,,0.214,2.4,,
Kepler-195,,288.120962,47.966667,,0.78,,,5329,Transit,8.307872,0.077,,,,,,0.181,2.03,,
Kepler-195,,288.120962,47.966667,,0.78,,,5329,Transit,34.096863,0.197,,,,,,0.138,1.55,,
Kepler-196,,284.968519,42.079205,,0.78,,,5128,Transit,20.739886,0.138,,,,,,0.17,1.9,,
Kepler-196,,284.968519,42.079205,,0.78,,,5128,Transit,47.427737,0.24,,,,,,0.2,2.24,,
Kepler-197,,295.226435,50.559006,,1.12,,,6004,Transit,5.599308,0.06,,,,,,0.091,1.02,,
Kepler-197,,295.226435,50.559006,,1.12,,,6004,Transit,10.349695,0.09,,,,,,0.11,1.23,,
Kepler-197,,295.226435,50.559006,,1.12,,,6004,Transit,15.677563,0.119,,,,,,0.109,1.22,,
Kepler-197,,295.226435,50.559006,,1.12,,,6004,Transit,25.209715,0.164,,,,,,0.081,0.91,,
Kepler-198,,290.67313,38.691011,,0.94,0.93,,5574,Transit,17.790037,0.131,,,,,,0.252,2.82,,
Kepler-198,,290.67313,38.691011,,0.94,0.93,,5574,Transit,49.567416,0.259,,,,,,0.22,2.47,,
Kepler-198,,290.67313,38.691011,,0.94,0.93,,5574,Transit,1.31184443,,,,,,,0.136,1.53,,
Kepler-199,,295.559419,40.236271,,0.97,,,5644,Transit,23.637604,0.158,,,,,,0.277,3.11,,
Kepler-199,,295.559419,40.236271,,0.97,,,5644,Transit,67.093408,0.316,,,,,,0.29,3.25,,
Kepler-20,290,287.698004,42.338726,,0.94,0.91,-0.149,5455,Transit,3.6961219,0.04537,0.32,86.5,0.027,8.7,,0.17,1.91,6.5,1014
Kepler-20,290,287.698004,42.338726,,0.94,0.91,-0.149,5455,Transit,10.854092,0.093,0.4,88.39,0.051,16.1,,0.274,3.07,2.91,713
Kepler-20,290,287.698004,42.338726,,0.94,0.91,-0.149,5455,Transit,77.61184,0.3453,0.6,89.57,0.063,20.1,,0.245,2.75,4.07,369
Kepler-20,290,287.698004,42.338726,,0.94,0.91,-0.149,5455,Transit,6.098493,,0.28,87.5,0.01,3.08,,0.077,0.868,,1040
Kepler-20,290,287.698004,42.338726,,0.94,0.91,-0.149,5455,Transit,19.57706,,0.32,88.68,0.045,14.3,,0.092,1.03,,705
Kepler-200,,284.40992,41.237465,,0.94,,,5678,Transit,8.594805,0.08,,,,,,0.19,2.13,,
Kepler-200,,284.40992,41.237465,,0.94,,,5678,Transit,10.222157,0.09,,,,,,0.142,1.59,,
Kepler-201,,293.62604,41.272827,,1.23,1.17,,6065,Transit,25.672083,0.175,,,,,,0.219,2.46,,
Kepler-201,,293.62604,41.272827,,1.23,1.17,,6065,Transit,151.884058,0.573,,,,,,0.254,2.85,,
Kepler-202,,282.973419,41.322006,,0.67,,,4668,Transit,4.069427,0.045,,,,,,0.145,1.63,,
Kepler-202,,282.973419,41.322006,,0.67,,,4668,Transit,16.282493,0.113,,,,,,0.165,1.85,,
Kepler-203,,297.089977,41.388039,,1.11,0.98,,5821,Transit,3.162697,0.043,,,,,,0.229,2.57,,
Kepler-203,,297.089977,41.388039,,1.11,0.98,,5821,Transit,5.370647,0.061,,,,,,0.22,2.47,,
Kepler-203,,297.089977,41.388039,,1.11,0.98,,5821,Transit,11.32972,0.1,,,,,,0.128,1.44,,
Kepler-204,,285.347187,41.761925,,1.24,0.96,,5812,Transit,14.400974,0.117,,,,,,0.226,2.53,,
Kepler-204,,285.347187,41.761925,,1.24,0.96,,5812,Transit,25.660593,0.173,,,,,,0.16,1.79,,
Kepler-205,,285.287111,41.861172,,0.55,,,4321,Transit,2.75564,0.032,,,,,,0.135,1.51,,
Kepler-205,,285.287111,41.861172,,0.55,,,4321,Transit,20.306546,0.122,,,,,,0.146,1.64,,
Kepler-206,,291.634678,41.833866,,1.19,0.94,,5764,Transit,7.781987,0.078,,,,,,0.107,1.2,,
Kepler-206,,291.634678,41.833866,,1.19,0.94,,5764,Transit,13.137471,0.111,,,,,,0.158,1.77,,
Kepler-206,,291.634678,41.833866,,1.19,0.94,,5764,Transit,23.44281,0.163,,,,,,0.106,1.19,,
Kepler-207,,290.030517,42.16605,,1.59,,,5920,Transit,1.611865,0.029,,,,,,0.14,1.57,,
Kepler-207,,290.030517,42.16605,,1.59,,,5920,Transit,3.071571,0.044,,,,,,0.134,1.5,,
Kepler-207,,290.030517,42.16605,,1.59,,,5920,Transit,5.868075,0.068,,,,,,0.295,3.31,,
Kepler-208,,293.890206,42.528008,,1.31,1.03,,6092,Transit,4.22864,0.054,,,,,,0.145,1.63,,
Kepler-208,,293.890206,42.528008,,1.31,1.03,,6092,Transit,7.466623,0.079,,,,,,0.124,1.39,,
Kepler-208,,293.890206,42.528008,,1.31,1.03,,6092,Transit,11.131786,0.103,,,,,,0.107,1.2,,
Kepler-208,,293.890206,42.528008,,1.31,1.03,,6092,Transit,16.259458,0.132,,,,,,0.132,1.48,,
Kepler-209,,291.169537,42.640812,,0.94,,,5513,Transit,16.087845,0.122,,,,,,0.202,2.26,,
Kepler-209,,291.169537,42.640812,,0.94,,,5513,Transit,41.749882,0.231,,,,,,0.277,3.1,,
Kepler-21,113,287.361816,38.714016,F6 IV,1.9,1.41,0.715,6305,Transit,2.78578,0.042717,0.02,83.2,0.01598,5.08,,0.146,1.639,6.4,2025
Kepler-210,,292.503389,43.083149,,0.65,,,4559,Transit,2.453234,0.032,,,,,,0.262,2.94,,
Kepler-210,,292.503389,43.083149,,0.65,,,4559,Transit,7.972513,0.07,,,,,,0.323,3.62,,
Kepler-211,,285.439151,43.168484,,0.82,0.97,,5123,Transit,4.138575,0.048,,,,,,0.112,1.26,,
Kepler-211,,285.439151,43.168484,,0.82,0.97,,5123,Transit,6.04045,0.062,,,,,,0.115,1.29,,
Kepler-212,,287.620834,43.141678,,1.46,1.16,,5852,Transit,16.257582,0.133,,,,,,0.097,1.09,,
Kepler-212,,287.620834,43.141678,,1.46,1.16,,5852,Transit,31.805174,0.207,,,,,,0.244,2.74,,
Kepler-213,,290.824182,44.647186,,1.2,0.94,,5696,Transit,2.46236,0.036,,,,,,0.145,1.62,,
Kepler-213,,290.824182,44.647186,,1.2,0.94,,5696,Transit,4.822962,0.057,,,,,,0.209,2.34,,
Kepler-214,,284.754851,44.956032,,1.35,,,6169,Transit,15.660544,0.13,,,,,,0.233,2.61,,
Kepler-214,,284.754851,44.956032,,1.35,,,6169,Transit,28.7798,0.194,,,,,,0.19,2.13,,
Kepler-215,,294.973509,45.213688,,1.03,0.77,,5739,Transit,9.360672,0.084,,,,,,0.145,1.62,,
Kepler-215,,294.973509,45.213688,,1.03,0.77,,5739,Transit,14.667108,0.113,,,,,,0.158,1.77,,
Kepler-215,,294.973509,45.213688,,1.03,0.77,,5739,Transit,30.864423,0.185,,,,,,0.213,2.39,,
Kepler-215,,294.973509,45.213688,,1.03,0.77,,5739,Transit,68.16101,0.314,,,,,,0.156,1.75,,
Kepler-216,,293.728072,46.129154,,1.26,,,6091,Transit,7.693641,0.079,,,,,,0.21,2.35,,
Kepler-216,,293.728072,46.129154,,1.26,,,6091,Transit,17.406669,0.136,,,,,,0.271,3.04,,
Kepler-217,,293.037744,46.277508,,1.8,,,6171,Transit,5.374943,0.065,,,,,,0.199,2.23,,
Kepler-217,,293.037744,46.277508,,1.8,,,6171,Transit,8.586004,0.089,,,,,,0.165,1.85,,
Kepler-217,,293.037744,46.277508,,1.8,,,6171,Transit,3.88689525,,,,,,,0.118,1.32,,
Kepler-218,,295.412811,46.266472,,1.06,,,5502,Transit,3.619337,0.046,,,,,,0.132,1.48,,
Kepler-218,,295.412811,46.266472,,1.06,,,5502,Transit,44.699576,0.248,,,,,,0.28,3.14,,
Kepler-218,,295.412811,46.266472,,1.06,,,5502,Transit,124.5244647,,,,,,,0.237,2.66,,
Kepler-219,,288.73898,46.762558,,1.49,,,5786,Transit,4.585512,0.057,,,,,,0.263,2.95,,
Kepler-219,,288.73898,46.762558,,1.49,,,5786,Transit,22.714613,0.165,,,,,,0.319,3.58,,
Kepler-219,,288.73898,46.762558,,1.49,,,5786,Transit,47.903645,0.272,,,,,,0.251,2.81,,
Kepler-22,190,289.217484,47.884464,G5 V,0.98,0.97,-0.102,5518,Transit,289.8623,0.849,0,89.764,0.113,36,,0.212,2.38,14.7,262
Kepler-220,,291.506237,46.895779,,0.67,,,4632,Transit,4.159807,0.046,,,,,,0.072,0.81,,
Kepler-220,,291.506237,46.895779,,0.67,,,4632,Transit,9.034199,0.076,,,,,,0.14,1.57,,
Kepler-220,,291.506237,46.895779,,0.67,,,4632,Transit,28.122397,0.163,,,,,,0.087,0.98,,
Kepler-220,,291.506237,46.895779,,0.67,,,4632,Transit,45.902733,0.226,,,,,,0.119,1.33,,
Kepler-221,,296.654765,46.83527,,0.82,0.72,,5243,Transit,2.795906,0.037,,,,,,0.153,1.71,,
Kepler-221,,296.654765,46.83527,,0.82,0.72,,5243,Transit,5.690586,0.059,,,,,,0.261,2.93,,
Kepler-221,,296.654765,46.83527,,0.82,0.72,,5243,Transit,10.04156,0.087,,,,,,0.244,2.73,,
Kepler-221,,296.654765,46.83527,,0.82,0.72,,5243,Transit,18.369917,0.13,,,,,,0.235,2.63,,
Kepler-222,,287.9061,46.937767,,0.87,,,5433,Transit,3.936981,0.048,,,,,,0.282,3.16,,
Kepler-222,,287.9061,46.937767,,0.87,,,5433,Transit,10.08881,0.091,,,,,,0.414,4.64,,
Kepler-222,,287.9061,46.937767,,0.87,,,5433,Transit,28.081912,0.18,,,,,,0.329,3.69,,
Kepler-223,,298.318356,47.279495,,1.72,1.12,,,Transit,7.38449,,0.078,90,0.02328,7.4,,0.267,2.99,1.54,
Kepler-223,,298.318356,47.279495,,1.72,1.12,,,Transit,9.84564,,0.15,90,0.01605,5.1,,0.307,3.44,0.71,
Kepler-223,,298.318356,47.279495,,1.72,1.12,,,Transit,14.78869,,0.037,87.94,0.02517,8,,0.467,5.24,0.31,
Kepler-223,,298.318356,47.279495,,1.72,1.12,,,Transit,19.72567,,0.051,88,0.0151,4.8,,0.41,4.6,0.28,
Kepler-224,,290.934287,47.357601,,0.68,0.74,,5018,Transit,3.132924,0.038,,,,,,0.124,1.39,,
Kepler-224,,290.934287,47.357601,,0.68,0.74,,5018,Transit,5.925003,0.058,,,,,,0.278,3.12,,
Kepler-224,,290.934287,47.357601,,0.68,0.74,,5018,Transit,11.349393,0.089,,,,,,0.205,2.3,,
Kepler-224,,290.934287,47.357601,,0.68,0.74,,5018,Transit,18.643577,0.124,,,,,,0.176,1.97,,
Kepler-225,,292.193984,47.457096,,0.48,,,3682,Transit,6.738975,0.056,,,,,,0.107,1.2,,
Kepler-225,,292.193984,47.457096,,0.48,,,3682,Transit,18.794234,0.111,,,,,,0.164,1.84,,
Kepler-226,,292.376129,47.880989,,0.8,0.86,,5571,Transit,3.940997,0.047,,,,,,0.138,1.55,,
Kepler-226,,292.376129,47.880989,,0.8,0.86,,5571,Transit,5.349555,0.058,,,,,,0.203,2.27,,
Kepler-226,,292.376129,47.880989,,0.8,0.86,,5571,Transit,8.109044,0.076,,,,,,0.109,1.22,,
Kepler-227,,291.934236,48.141651,,1.09,,,5854,Transit,9.488015,0.09,,,,,,0.277,3.11,,
Kepler-227,,291.934236,48.141651,,1.09,,,5854,Transit,54.418694,0.29,,,,,,0.271,3.04,,
Kepler-228,,296.286142,48.224667,,1.01,,,6043,Transit,2.566546,0.038,,,,,,0.136,1.53,,
Kepler-228,,296.286142,48.224667,,1.01,,,6043,Transit,4.134444,0.052,,,,,,0.241,2.7,,
Kepler-228,,296.286142,48.224667,,1.01,,,6043,Transit,11.094286,0.101,,,,,,0.36,4.04,,
Kepler-229,,286.999471,48.375797,,0.73,,,5120,Transit,6.252972,0.062,,,,,,0.196,2.2,,
Kepler-229,,286.999471,48.375797,,0.73,,,5120,Transit,16.068638,0.117,,,,,,0.439,4.92,,
